Crater Name,Lat (deg),Lon (deg),PSR centroid Lat (deg),PSR centroid Lon (deg),Diam (km),Age (Ga),Error (- Ga),Error (+ Ga),PSR Area (km^2),Age Ref.,Priority (1 - high),Notes
Haworth,-87.5,354.8,-87.493,357.876,51.4,4.18,0.02,0.02,1017.932,Cannon et al. 2020,1,
Shoemaker,-88.1,45.9,-88.026,45.279,51.8,4.15,0.02,0.02,1075.518,Cannon et al. 2020,1,
Faustini,-87.2,84.3,-87.146,84.075,42.5,4.1,0.03,0.03,663.934,Cannon et al. 2020,1,
Amundsen,-84.4,83.1,-83.524,91.015,103.4,3.9,0.1,0.1,701.959,Cannon et al. 2020,1,
Cabeus B,-82.3,305.4,-81.691,305.381,59.6,3.9,0.1,0.1,387.205,Cannon et al. 2020,2,
de Gerlache,-88.5,271.7,-88.312,269.143,32.7,3.9,0.1,0.1,243.292,Cannon et al. 2020,1,
Hedervari,-81.9,85.6,NaN,NaN,74.1,3.9,0.1,0.1,,Cannon et al. 2020,2,
Idel'son L,-84,118.6,-83.891,118.47,28,3.9,0.1,0.1,326.779,Cannon et al. 2020,2,
Unnamed 1,-83.7,69.2,-83.055,67.449,57.7,3.9,0.1,0.1,,Cannon et al. 2020,2,
Cabeus,-85.3,317.9,-84.458,313.432,100.6,3.88,0.1,0.1,315.029,Cannon et al. 2020,1,
Nobile,-85.3,53.3,-84.551,60.29,79.3,3.8,0.1,0.1,,Cannon et al. 2020,2,
Scott,-82.4,48.5,-80.791,45.506,107.8,3.8,0.1,0.1,,Cannon et al. 2020,2,
Scott E,-81.2,35.7,-80.982,35.79,29.2,3.8,0.1,0.1,,Cannon et al. 2020,2,
Slater,-88.1,111.3,-88.1,114.782,25.1,3.8,0.1,0.1,183.172,Cannon et al. 2020,2,
Sverdrup,-88.3,206.6,-88.249,216.455,32.8,3.8,0.1,0.1,548.791,Cannon et al. 2020,1,
Wiechert P,-85.1,151.8,-84.755,150.077,38.6,3.8,0.1,0.1,,Cannon et al. 2020,2,
Unnamed 2,-82.2,10.6,-82.402,11.498,26.8,3.7,0.1,0.1,,Cannon et al. 2020,3,
Wiechert,-84,164.7,-83.74,163.086,40.8,3.7,0.2,0.1,,Cannon et al. 2020,3,
Idel'son,-81.3,112.7,NaN,NaN,59.8,3.5,0.5,0.1,,Cannon et al. 2020,3,
Unnamed 3,-83.9,338.3,-83.767,338.771,22.3,3.4,0.5,0.1,,Cannon et al. 2020,3,
Wiechert U,-83.4,149,-83.295,149.545,30,3.4,0.7,0.1,,Cannon et al. 2020,3,
Wiechert J,-85.2,182.4,-85.023,182.607,34.9,3.2,0.1,0.3,371.549,Cannon et al. 2020,3,
Shackleton,-89.7,129.8,-89.645,128.203,20.9,3.15,0.08,0.05,233.698,Cannon et al. 2020,1,
Amundsen C,-80.8,85.2,NaN,NaN,24.2,1.8,0.2,0.2,,Cannon et al. 2020,3,
