,ID,lat,lon,diam,rad,x,y,name
1,00-1-000031,34.2595,342.856,1198.39,599.195,-423.18504965257034,1371.835083877044,Imbrium
2,00-1-000016,16.3974,59.4647,1114.52,557.26,1435.2549597031682,846.6212922788598,Crisium
5,00-1-000013,8.25292,28.416,907.122,453.561,818.0258393753476,1511.8978593343238,Tranquilitatis
6,00-1-000030,-15.8284,34.7632,871.995,435.9975,952.85957230051,1372.8659505841129,Nectaris
7,00-1-000017,27.0221,22.8638,866.199,433.0995,601.2195891523941,1425.7985301208757,Serenitatis
8,00-1-000029,-25.9578,320.599,796.356,398.178,-991.321385273161,1206.811461936713,Humorum
9,00-1-000027,51.1265,237.306,659.596,329.798,-917.4316910831257,-588.8450172779862,Coulomb-Sarton
12,00-1-000028,-2.52891,52.8579,652.877,326.4385,1383.2845099042036,1047.7685313042293,Fecunditatis
13,00-1-000007,26.8611,149.162,634.744,317.372,794.3368036591571,-1330.505279507851,Moscoviense
17,00-1-000032,-51.6705,23.5685,444.257,222.1285,430.7363686585816,987.3959365088818,Mutus-Vlacq
19,00-1-000011,-55.8051,314.334,354.103,177.0515,-698.2623687285425,682.2151235729121,Unnamed?
21,02-1-000027,58.7517,213.257,322.265,161.1325,-494.13994710615214,-753.4878942609241,Birkhoff
23,00-1-000010,-57.2082,135.54,318.375,159.1875,658.9035193792624,-671.4421027335277,Planck
